                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36532,                 0.6913,                0.87336,                0.58784,                0.63767,                0.63991,                0.56215,                0.56636,                  1.717,                0.99238,              0.0001092,              0.0001092,              0.0001092
                      2,                0.39972,                0.82065,                0.89049,                0.52776,                0.64871,                0.59635,                0.50903,                0.54741,                 1.6723,                0.99893,             0.00021192,             0.00021192,             0.00021192
                      3,                0.43036,                0.76359,                0.90841,                0.69176,                0.42527,                0.54759,                0.47505,                0.62236,                 1.8292,                 1.0553,              0.0003034,              0.0003034,              0.0003034
                      4,                0.46061,                0.81175,                0.91874,                0.61427,                0.48604,                0.54775,                0.44266,                0.80663,                 2.1259,                 1.2015,             0.00038362,             0.00038362,             0.00038362
                      5,                0.48101,                0.81232,                0.93245,                0.59006,                0.48246,                0.54688,                0.43357,                0.75706,                 1.9025,                 1.2028,               0.000365,               0.000365,               0.000365
                      6,                0.49636,                0.87662,                0.94221,                0.53159,                0.53776,                0.53437,                0.44318,                0.70777,                 2.1845,                 1.1534,               0.000365,               0.000365,               0.000365
                      7,                0.44774,                0.78833,                0.91222,                0.50153,                0.60171,                0.57146,                0.45868,                0.67988,                 1.9961,                  1.096,              0.0003425,              0.0003425,              0.0003425
                      8,                0.45253,                0.79043,                0.90499,                0.56129,                0.53284,                0.56175,                0.44136,                0.63572,                 1.9323,                 1.0641,                0.00032,                0.00032,                0.00032
                      9,                0.43873,                0.69723,                0.91843,                0.70651,                0.53276,                0.63591,                0.51434,                0.59436,                 1.5726,                 1.0136,              0.0002975,              0.0002975,              0.0002975
                     10,                0.41603,                0.63231,                0.88662,                0.65031,                0.54506,                0.58527,                 0.5094,                0.56769,                 2.0042,                0.99613,             0.00027499,             0.00027499,             0.00027499
                     11,                0.40373,                0.60524,                0.88057,                0.72401,                0.48614,                0.55124,                0.47504,                0.58665,                 1.7394,                 1.0345,             0.00025249,             0.00025249,             0.00025249
                     12,                0.38565,                0.50622,                0.86701,                0.71427,                0.53753,                0.59998,                0.53552,                0.56537,                 1.9389,                0.97806,             0.00022999,             0.00022999,             0.00022999
                     13,                0.38751,                 0.5059,                0.86672,                0.63771,                0.61074,                0.65948,                0.58885,                 0.5961,                 1.8999,                 1.0257,             0.00020749,             0.00020749,             0.00020749
                     14,                0.35031,                0.43005,                0.84172,                0.74277,                0.51952,                0.61267,                0.53708,                0.61988,                 1.5129,                 1.0774,             0.00018499,             0.00018499,             0.00018499
                     15,                0.31473,                0.39578,                0.83384,                0.69784,                0.56178,                0.61986,                0.54725,                0.58486,                 1.5718,                 1.0249,             0.00016249,             0.00016249,             0.00016249
                     16,                0.32509,                0.38578,                0.83415,                0.63113,                0.57467,                0.60985,                 0.5586,                0.52673,                 1.5072,                 0.9657,             0.00013999,             0.00013999,             0.00013999
                     17,                0.30424,                0.36298,                0.83491,                0.56125,                0.60663,                0.64154,                 0.5766,                0.54415,                 1.3933,                0.97821,             0.00011749,             0.00011749,             0.00011749
                     18,                0.29969,                0.33401,                0.82981,                0.68602,                0.57587,                0.63013,                0.56955,                0.57686,                  1.424,                 1.0168,             9.4989e-05,             9.4989e-05,             9.4989e-05
                     19,                0.29011,                0.30494,                0.82069,                0.73718,                0.54834,                0.62792,                  0.573,                0.58071,                 1.5985,                 1.0331,             7.2489e-05,             7.2489e-05,             7.2489e-05
                     20,                0.28215,                0.30028,                0.80866,                0.68816,                0.57517,                0.63652,                0.58375,                0.53641,                 1.4438,                 1.0045,             4.9988e-05,             4.9988e-05,             4.9988e-05
